Mar. 17, 2017   14:46:59
Chronopotentiometry
File: e:\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Cathodic Current (A) = 0.024
Anodic Current (A) = 0.024
Init P/N = N
Data Storage Interval (s) = 0.1
High E Limit (V) = 0.4
High E Hold Time (s) = 3
Low E Limit (V) = 0
Low E Hold Time (s) = 3
Cathodic Time (s) = 1000
Anodic Time (s) = 1000
Current Switching Polarity = Potential
Segment = 1000

Time/sec, Potential/V

1.000e-1, 1.913e-1
2.000e-1, 1.847e-1
3.000e-1, 1.789e-1
4.000e-1, 1.737e-1
5.000e-1, 1.690e-1
6.000e-1, 1.648e-1
7.000e-1, 1.610e-1
8.000e-1, 1.576e-1
9.000e-1, 1.546e-1
1.000e+0, 1.520e-1
1.100e+0, 1.496e-1
1.200e+0, 1.474e-1
1.300e+0, 1.454e-1
1.400e+0, 1.436e-1
1.500e+0, 1.419e-1
1.600e+0, 1.403e-1
1.700e+0, 1.388e-1
1.800e+0, 1.375e-1
1.900e+0, 1.362e-1
2.000e+0, 1.349e-1
2.100e+0, 1.337e-1
2.200e+0, 1.325e-1
2.300e+0, 1.313e-1
2.400e+0, 1.303e-1
2.500e+0, 1.292e-1
2.600e+0, 1.283e-1
2.700e+0, 1.273e-1
2.800e+0, 1.265e-1
2.900e+0, 1.257e-1
3.000e+0, 1.250e-1
3.100e+0, 1.243e-1
3.200e+0, 1.237e-1
3.300e+0, 1.231e-1
3.400e+0, 1.225e-1
3.500e+0, 1.220e-1
3.600e+0, 1.215e-1
3.700e+0, 1.210e-1
3.800e+0, 1.206e-1
3.900e+0, 1.202e-1
4.000e+0, 1.197e-1
4.100e+0, 1.193e-1
4.200e+0, 1.188e-1
4.300e+0, 1.184e-1
4.400e+0, 1.180e-1
4.500e+0, 1.176e-1
4.600e+0, 1.172e-1
4.700e+0, 1.167e-1
4.800e+0, 1.162e-1
4.900e+0, 1.158e-1
5.000e+0, 1.152e-1
5.100e+0, 1.147e-1
5.200e+0, 1.142e-1
5.300e+0, 1.136e-1
5.400e+0, 1.131e-1
5.500e+0, 1.125e-1
5.600e+0, 1.119e-1
5.700e+0, 1.112e-1
5.800e+0, 1.106e-1
5.900e+0, 1.100e-1
6.000e+0, 1.093e-1
6.100e+0, 1.086e-1
6.200e+0, 1.079e-1
6.300e+0, 1.071e-1
6.400e+0, 1.063e-1
6.500e+0, 1.054e-1
6.600e+0, 1.045e-1
6.700e+0, 1.035e-1
6.800e+0, 1.025e-1
6.900e+0, 1.013e-1
7.000e+0, 1.000e-1
7.100e+0, 9.862e-2
7.200e+0, 9.701e-2
7.300e+0, 9.513e-2
7.400e+0, 9.286e-2
7.500e+0, 9.003e-2
7.600e+0, 8.641e-2
7.700e+0, 8.169e-2
7.800e+0, 7.547e-2
7.900e+0, 6.788e-2
8.000e+0, 5.923e-2
8.100e+0, 5.000e-2
